Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
196	3437.014985561371	1000	198000	-68.2043099754192	-74.8310414687722	16398	198000
197	3454.552928209305	1000	199000	-68.2043099754192	-74.2393134078423	16481	199000
198	3472.0552451610565	1000	200000	-68.2043099754192	-80.53041465982042	16564	200000
199	3489.561202287674	1000	201000	-68.2043099754192	-73.94983524035948	16647	201000
200	3507.034194946289	1000	202000	-68.2043099754192	-74.89104079258802	16730	202000
201	3524.525148630142	1000	203000	-68.2043099754192	-79.84267494463514	16814	203000
202	3542.1025290489197	1000	204000	-68.2043099754192	-74.59155335471104	16897	204000
203	3559.6174833774567	1000	205000	-68.2043099754192	-74.29332337104648	16980	205000
204	3577.1334545612335	1000	206000	-68.2043099754192	-73.93889041926522	17063	206000
205	3594.667380094528	1000	207000	-68.2043099754192	-74.23239359831742	17146	207000
206	3612.6527395248413	1000	208000	-68.2043099754192	-74.0653314677284	17229	208000
207	3630.506372451782	1000	209000	-68.2043099754192	-74.6546403995355	17313	209000
208	3648.2182245254517	1000	210000	-68.2043099754192	-80.00713338692861	17396	210000
209	3665.874086380005	1000	211000	-68.2043099754192	-73.96478099645597	17479	211000
210	3683.7800998687744	1000	212000	-68.2043099754192	-74.59454165158822	17562	212000
211	3702.373922586441	1000	213000	-68.2043099754192	-74.52481671075458	17644	213000
212	3721.0862419605255	1000	214000	-68.2043099754192	-74.54668065286934	17727	214000
213	3738.718168735504	1000	215000	-68.2043099754192	-73.86563020817634	17810	215000
214	3756.2711000442505	1000	216000	-68.2043099754192	-73.94036716075477	17893	216000
215	3773.922960281372	1000	217000	-68.2043099754192	-74.52136499898496	17976	217000
216	3791.8236413002014	1000	218000	-68.2043099754192	-74.86757294343313	18059	218000
217	3809.353530883789	1000	219000	-68.2043099754192	-74.74079741383485	18143	219000
